id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,parentTitle,decade
tt0412605,videoGame,Cy Girls,Cool Girl,0.0,2004.0,,,"Action,Adventure,Mystery",7.7,14.0,,,,,2000.0
tt0412672,videoGame,Dungeon Siege,Dungeon Siege,0.0,2002.0,,,Fantasy,7.8,223.0,,,,,2000.0
tt0412679,videoGame,Egyptian Prophecy: Fate of Ramses,Egyptian Prophecy: Fate of Ramses,0.0,2004.0,,,,7.4,7.0,,,,,2000.0
tt0412704,videoGame,Far Cry,Far Cry,0.0,2004.0,,,"Action,Adventure",8.0,3008.0,,,,,2000.0
tt0412737,videoGame,Forgotten Realms: Demon Stone,Forgotten Realms: Demon Stone,0.0,2004.0,,,"Action,Adventure,Fantasy",7.2,91.0,,,,,2000.0
tt0412853,videoGame,Initial D: Arcade Stage,Initial D: Arcade Stage,0.0,2001.0,,,,8.1,28.0,,,,,2000.0
tt0412935,videoGame,The Lord of the Rings: The Battle for Middle-Earth,The Lord of the Rings: The Battle for Middle-Earth,0.0,2004.0,,,"Adventure,Drama,Fantasy",8.7,1706.0,,,,,2000.0
tt0412948,videoGame,Madden NFL 2005,Madden NFL 2005,0.0,2004.0,,,Sport,7.4,148.0,,,,,2000.0
tt0412971,videoGame,Mario vs. Donkey Kong,Mario vs. Donkey Kong,0.0,2004.0,,,"Action,Adventure,Family",7.1,77.0,,,,,2000.0
tt0413026,videoGame,NCAA Football 2004,NCAA Football 2004,0.0,2003.0,,,Sport,7.3,35.0,,,,,2000.0
tt0413027,videoGame,NFL 2k1,NFL 2k1,0.0,2000.0,,,,6.7,23.0,,,,,2000.0
tt0413220,videoGame,SSX,SSX,0.0,2000.0,,,"Action,Family,Sport",7.2,108.0,,,,,2000.0
tt0413221,videoGame,Sabre Wulf,Sabre Wulf,0.0,2004.0,,,Adventure,7.3,15.0,,,,,2000.0
tt0413224,videoGame,Samurai Jack: The Shadow of Aku,Samurai Jack: The Shadow of Aku,0.0,2004.0,,,"Action,Adventure,Animation",8.0,81.0,,,,,2000.0
tt0413269,videoGame,SimCity 4,SimCity 4,0.0,2003.0,,,"Action,Adventure,Crime",7.7,463.0,,,,,2000.0
